iteration,effect_pp,in_95_ci,favours_treatment
697,-1.0248076790007943,1,0
698,-0.7475594439012551,1,0
699,-0.806512998717443,1,0
700,-0.7623791635738758,1,0
701,-0.5362865954318036,1,0
702,-0.7425673084768186,1,0
703,-0.5528629164864851,1,0
704,-1.2584533675152083,1,0
705,-0.9350252240345441,1,0
706,-0.7049881961285448,1,0
707,-1.2950355576781507,1,0
708,-0.6253064204178871,1,0
709,-1.4683158890393289,0,0
710,-1.0221690884484076,1,0
711,-1.251546468716311,1,0
712,-0.8863126582265402,1,0
713,-0.6472629049194129,1,0
714,-1.1921660830754717,1,0
715,-0.7682757141227875,1,0
716,-1.1676993671012132,1,0
717,-0.6103046374069943,1,0
718,-0.6572203236389768,1,0
719,-1.0721755727950173,1,0
720,-0.6979021847748124,1,0
721,-1.1588164761714648,1,0
722,-0.9122404546213048,1,0
723,-0.610692665429402,1,0
724,-0.6966873472324081,1,0
725,-0.9050499855337846,1,0
726,-0.6379129049710525,1,0
727,-0.897149115332993,1,0
728,-0.7162649101243007,1,0
729,-1.409362334223141,0,0
730,-0.7011735708359917,1,0
731,-0.5758431753026511,1,0
732,-0.5916837185064722,1,0
733,-0.8153839389742568,1,0
734,-0.8513587103659986,1,0
735,-0.8774417179697236,1,0
736,-1.2611158594134642,1,0
737,-0.9767935636331299,1,0
738,-0.5059487056462197,1,0
739,-0.9353222203878186,1,0
740,-0.34137067726824344,1,0
741,-0.8676141337215393,1,0
742,-0.9478406240552878,1,0
743,-1.0095760299598937,1,0
744,-0.7659863487905677,1,0
745,-0.789262128568291,1,0
746,-0.9069259461060047,1,0
747,-0.5515570472749448,1,0
748,-1.086646067247471,1,0
749,-0.9576294055012341,1,0
750,-0.8198596872966257,1,0
751,-0.9077408049530666,1,0
752,-1.0671580606329916,1,0
753,-0.8367210540316472,1,0
754,-0.4134112517208577,1,0
755,-0.7530933431653453,1,0
756,-0.559380311871252,1,0
757,-0.5976713007245199,1,0
758,-1.0117087086914278,1,0
759,-0.44284325099024635,1,0
760,-0.6516983750478211,1,0
761,-0.9951174861803747,1,0
762,-0.9063036258784296,1,0
763,-0.5958744211485012,1,0
764,-0.3955275860629187,1,0
765,-0.5443292507769038,1,0
766,-0.6421543610882541,1,0
767,-0.582735172645174,1,0
768,-1.0697324716455543,1,0
769,-1.005036102097698,1,0
770,-0.700539299935482,1,0
771,-0.7689861152360589,1,0
772,-0.5929388342428399,1,0
773,-0.9729267094736815,1,0
774,-0.6358563564522801,1,0
775,-0.7006557083422044,1,0
776,-0.8372777193276754,1,0
777,-1.17981631668162,1,0
778,-0.6085719373708026,1,0
779,-0.4964181177513072,1,0
780,-0.6710565471909208,1,0
781,-0.917554963136602,1,0
782,-0.6790096462586048,1,0
783,-0.9372369837622824,1,0
784,-0.311589452778685,0,0
785,-0.27778763831244335,0,0
786,-0.7668131583105642,1,0
787,-0.7595197068809761,1,0
788,-0.6529266386548799,1,0
789,-0.47358111947117254,1,0
790,-0.9889881188180155,1,0
791,-0.7678086051041783,1,0
792,-1.055933575504131,1,0
793,-1.1011285123728565,1,0
794,-1.2133091841216581,1,0
795,-0.7724261385708558,1,0
796,-0.9384652473693383,1,0
797,-1.061662964171145,1,0
798,-0.767034024451077,1,0
799,-1.0377917162951582,1,0
800,-0.9287540715278764,1,0
801,-0.8584581477843828,1,0
802,-0.7166648888196459,1,0
803,-0.777624238679428,1,0
804,-0.6434990331020352,1,0
805,-1.1070131122488336,1,0
806,-0.6236498505944599,1,0
807,-0.7325710869550139,1,0
808,-1.1833981251607257,1,0
809,-1.1826101184429727,1,0
810,-0.44873980153915805,1,0
811,-1.0768692364744563,1,0
812,-0.8951313696164614,1,0
813,-0.8788251927857454,1,0
814,-0.6966351183655128,1,0
815,-0.7051956362044004,1,0
816,-0.6733190603938344,1,0
817,-0.9599560982439748,1,0
818,-0.7187736662053135,1,0
819,-0.8804414844152147,1,0
820,-1.1372599703652813,1,0
821,-0.5718972401470013,1,0
822,-0.4908319896203245,1,0
823,-0.9680658839123446,1,0
824,-1.2259037180018888,1,0
825,-0.5267037786699957,1,0
826,-0.6844271371159727,1,0
827,-0.8501826756258352,1,0
828,-1.1970418100931828,1,0
829,-0.862584670886582,1,0
830,-1.098763016827875,1,0
831,-0.7692055059848518,1,0
832,-0.7092684550479872,1,0
833,-1.1856889658846654,1,0
834,-0.9546415897286775,1,0
835,-1.0027735888947842,1,0
836,-0.35150868393435675,1,0
837,-0.9469227828661553,1,0
838,-0.658124738763452,1,0
839,-0.7692443087870954,1,0
840,-0.8351435652044215,1,0
841,-0.6619915929229003,1,0
842,-0.7081565998476508,1,0
843,-0.7057000726335361,1,0
844,-1.0763662754370436,1,0
845,-0.6683149742964634,1,0
846,-0.8861186442153335,1,0
847,-0.4233044909005945,1,0
848,-0.7942274118634185,1,0
849,-0.8763432888340444,1,0
850,-0.8054667984486563,1,0
851,-0.06105702079166331,0,0
852,-1.1751092269375234,1,0
853,-0.7390884823397836,1,0
854,-0.5421443431784745,1,0
855,-0.4757794531342563,1,0
856,-0.9121494229521687,1,0
857,-0.7330889494488013,1,0
858,-0.9334745873366246,1,0
859,-0.7850340985157411,1,0
860,-0.5317466675696075,1,0
861,-0.7677056227621076,1,0
862,-0.5942447034543802,1,0
863,-1.1375315899809668,1,0
864,-0.5906106661083793,1,0
865,-0.7255104523388733,1,0
866,-0.5638038313267257,1,0
867,-0.9349864212323034,1,0
868,-1.1178361432906347,1,0
869,-1.1951927016502717,1,0
870,-0.8105216380211999,1,0
871,-0.7901292162822454,1,0
872,-1.3251525813232217,1,0
873,-0.7445462513911122,1,0
874,-1.3704251237964316,0,0
875,-0.7360379624191171,1,0
876,-1.0079582629387045,1,0
